1,45,gas,Transport,Gas,,RBC Visa Sara
1,1.58,produce limes safeway,Food and Drinks,Groceries,Produce,RBC Visa Sara
1,13.99,beverages safeway,Food and Drinks,Groceries,Beverages,RBC Visa Sara
2,20,coffee,Food and Drinks,Drinks,Coffee,Wallet Sara
2,3,condiments bulk barn,Food and Drinks,Groceries,Condiments,RBC Visa Sara
2,515.71,condo fees,Home,Condo Fees,,RBC Pre-Authorized Debit
2,140,property tax,Home,Property Tax,,RBC Pre-Authorized Debit
3,2.51,dessert and chocolates starbursts safeway,Food and Drinks,Groceries,Dessert and Chocolates,RBC Visa Sara
3,7.67,meat ground beef safeway,Food and Drinks,Groceries,Meat,RBC Visa Sara
4,11.99,frozen pizzas safeway,Food and Drinks,Groceries,Frozen,RBC Visa Sara
5,38.08,meat sobeys,Food and Drinks,Groceries,Meat,RBC Visa Sara
5,15.17,dairy and eggs sobeys,Food and Drinks,Groceries,Dairy and Eggs,RBC Visa Sara
5,3,frozen sobeys,Food and Drinks,Groceries,Frozen,RBC Visa Sara
5,571.36,mortgage,Home,Mortgage,,RBC Pre-Authorized Debit
5,171.53,car insurance,Transport,Car,Insurance,RBC Pre-Authorized Debit
5,21.28,cell phone carlos,Personal Bills,Cell Phone,,RBC Visa Sara
5,4.47,milkshake burger king,Food and Drinks,Drinks,Milkshake,RBC Visa Sara
6,32.57,meat miller meats,Food and Drinks,Groceries,Meat,RBC Visa Sara
6,25.99,hair haircut carlos,Personal Bills,Hair,,RBC Visa Sara
6,3.92,medicine/pharmacy pregnancy test dollarama,Personal Bills,Medicine/Pharmacy,,RBC Visa Sara
6,7,home washing/cleaning dollarama,Home,Washing/Cleaning,,RBC Visa Sara
